Entity,Code,Year,Political regime,time
Afghanistan,AFG,2024,0,2024
Albania,ALB,2024,2,2024
Algeria,DZA,2024,1,2024
Angola,AGO,2024,1,2024
Argentina,ARG,2024,2,2024
Armenia,ARM,2024,2,2024
Australia,AUS,2024,3,2024
Austria,AUT,2024,2,2024
Azerbaijan,AZE,2024,1,2024
Bahrain,BHR,2024,0,2024
Bangladesh,BGD,2024,1,2024
Barbados,BRB,2024,3,2024
Belarus,BLR,2024,0,2024
Belgium,BEL,2024,3,2024
Benin,BEN,2024,1,2024
Bhutan,BTN,2024,2,2024
Bolivia,BOL,2024,2,2024
Bosnia and Herzegovina,BIH,2024,2,2024
Botswana,BWA,2024,2,2024
Brazil,BRA,2024,2,2024
Bulgaria,BGR,2024,2,2024
Burkina Faso,BFA,2024,0,2024
Burundi,BDI,2024,1,2024
Cambodia,KHM,2024,1,2024
Cameroon,CMR,2024,1,2024
Canada,CAN,2024,2,2024
Cape Verde,CPV,2024,2,2024
Central African Republic,CAF,2024,1,2024
Chad,TCD,2024,1,2024
Chile,CHL,2024,3,2024
China,CHN,2024,0,2024
Colombia,COL,2024,2,2024
Comoros,COM,2024,1,2024
Congo,COG,2024,1,2024
Costa Rica,CRI,2024,3,2024
Cote d'Ivoire,CIV,2024,1,2024
Croatia,HRV,2024,2,2024
Cuba,CUB,2024,0,2024
Cyprus,CYP,2024,2,2024
Czechia,CZE,2024,3,2024
Democratic Republic of Congo,COD,2024,1,2024
Denmark,DNK,2024,3,2024
Djibouti,DJI,2024,1,2024
Dominican Republic,DOM,2024,2,2024
East Timor,TLS,2024,2,2024
Ecuador,ECU,2024,2,2024
Egypt,EGY,2024,1,2024
El Salvador,SLV,2024,1,2024
Equatorial Guinea,GNQ,2024,1,2024
Eritrea,ERI,2024,0,2024
Estonia,EST,2024,3,2024
Eswatini,SWZ,2024,0,2024
Ethiopia,ETH,2024,1,2024
Fiji,FJI,2024,2,2024
Finland,FIN,2024,3,2024
France,FRA,2024,3,2024
Gabon,GAB,2024,0,2024
Gambia,GMB,2024,2,2024
Georgia,GEO,2024,1,2024
Germany,DEU,2024,3,2024
Ghana,GHA,2024,2,2024
Greece,GRC,2024,2,2024
Guatemala,GTM,2024,2,2024
Guinea,GIN,2024,0,2024
Guinea-Bissau,GNB,2024,1,2024
Guyana,GUY,2024,1,2024
Haiti,HTI,2024,0,2024
Honduras,HND,2024,2,2024
Hungary,HUN,2024,1,2024
Iceland,ISL,2024,3,2024
India,IND,2024,1,2024
Indonesia,IDN,2024,1,2024
Iran,IRN,2024,1,2024
Iraq,IRQ,2024,1,2024
Ireland,IRL,2024,3,2024
Israel,ISR,2024,2,2024
Italy,ITA,2024,3,2024
Jamaica,JAM,2024,3,2024
Japan,JPN,2024,3,2024
Jordan,JOR,2024,0,2024
Kazakhstan,KAZ,2024,1,2024
Kenya,KEN,2024,2,2024
Kosovo,OWID_KOS,2024,2,2024
Kuwait,KWT,2024,1,2024
Kyrgyzstan,KGZ,2024,1,2024
Laos,LAO,2024,0,2024
Latvia,LVA,2024,3,2024
Lebanon,LBN,2024,1,2024
Lesotho,LSO,2024,2,2024
Liberia,LBR,2024,2,2024
Libya,LBY,2024,0,2024
Lithuania,LTU,2024,2,2024
Luxembourg,LUX,2024,3,2024
Madagascar,MDG,2024,1,2024
